dsc_titulo_chamada;dsc_status;carta_txt_num_protocolo;carta_dsc_modalidade;carta_txt_sigla_uf;carta_txt_municipio;carta_dsc_agente_financeiro;carta_nome_proponente;carta_tipo_proponente;carta_txt_nome_empreendimento;carta_vlr_contrapartida;carta_vlr_emprestimo;carta_vlr_investimento
Avançar Cidades Saneamento 2018/2019;Concluída;001628.1.2805/2018-R;Abastecimento de Água;SP;Sorocaba;Caixa Econômica Federal;Prefeitura Municipal de Sorocaba;Prefeitura Municipal;Ampliação do Sistema de Adução e Reservação de Água Tratada;2.271.976,60;36.044.154,60;38.316.131,20
Avançar Cidades Saneamento 2018/2019;Concluída;00001641.1.2505/2018;Abastecimento de Água;MG;Itabira;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE ITABIRA;Prefeitura Municipal;Construção do Anel hidráulico no município de Itabira;311.676,17;5.921.847,19;6.233.523,36
Avançar Cidades Saneamento 2018/2019;Concluída;00001635.2.2505/2018;Esgotamento Sanitário;SP;Santo André;Caixa Econômica Federal;Prefeitura de Santo André;Prefeitura Municipal;Redes Coletoras de Esgoto;3.529.040,85;31.761.367,58;35.290.408,43
Avançar Cidades Saneamento 2018/2019;Concluída;00001766.2.3005/2018;Esgotamento Sanitário;ES;Muqui;Caixa Econômica Federal;Companhia Espírito Santense de Saneamento;Companhia/Empresa de Saneamento;Ampliação e Melhoria do Sistema de Esgotamento Sanitário de Muqui;1.139.430,98;21.649.188,47;22.788.619,45
Avançar Cidades Saneamento 2018/2019;Concluída;00001762.B.0106/2018;Plano de Saneamento Básico;PR;Curitiba;Caixa Econômica Federal;ESTADO DO PARANÁ;Governo Estadual/Distrital;ATUALIZAÇÃO E COMPLEMENTAÇÃO DO PLANO DIRETOR DE DRENAGEM DA BACIA DO ALTO RIO IGUAÇU NA REGIÃO METROPOLITANA DE CURITIBA;935.771,03;17.779.649,43;18.715.420,46
Avançar Cidades Saneamento 2018/2019;Concluída;00001865.6.1306/2018;Manejo de Resíduos Sólidos;PI;Bom Jesus;Caixa Econômica Federal;Prefeitura Municipal de Bom Jesus ;Prefeitura Municipal;Construção e Equipamentos de Aterro Sanitário ;80.600,00;1.529.000,00;1.609.600,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001608.6.2405/2018;Manejo de Resíduos Sólidos;SP;Santo André;Caixa Econômica Federal;Prefeitura de Santo André;Prefeitura Municipal;Central de Beneficiamento de Resíduos;1.542.900,00;14.331.600,00;15.874.500,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001781.A.3005/2018;Redução e Controle de Perdas;SP;Santo André;Caixa Econômica Federal;Prefeitura de Santo André;Prefeitura Municipal;Controle e Redução de Perdas;2.013.861,24;18.497.586,02;20.511.447,26
Avançar Cidades Saneamento 2018/2019;Concluída;00001632.1.0106/2018;Abastecimento de Água;RN;Porto do Mangue;Caixa Econômica Federal;Estado do Rio Grande do Norte;Governo Estadual/Distrital;Adutora Costa Branca;1.870.287,70;16.832.589,56;18.702.877,26
Avançar Cidades Saneamento 2018/2019;Concluída;00001949.1.1806/2018;Abastecimento de Água;MG;Guanhães;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE GUANHAES;Prefeitura Municipal;SISTEMA DE PRODUÇÃO RIBEIRÃO CORRENTE CANOA;696.122,36;13.226.324,74;13.922.447,10
Avançar Cidades Saneamento 2018/2019;Concluída;00001995.2.1806/2018;Esgotamento Sanitário;MG;Tapira;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE TAPIRA MG;Prefeitura Municipal;Implantação de Sistema de Esgotamento Sanitário no Município de Tapira MG;3.523.730,80;5.000.000,00;8.523.730,80
Avançar Cidades Saneamento 2018/2019;Concluída;00001642.1.0106/2018;Abastecimento de Água;RN;Angicos;Caixa Econômica Federal;Estado do Rio Grande do Norte;Governo Estadual/Distrital;Adutora Afonso Bezerra-Angicos;3.930.744,40;35.773.744,62;39.704.489,02
Avançar Cidades Saneamento 2018/2019;Concluída;00001659.9.3005/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;MOGI DAS CRUZES;Prefeitura Municipal;PROJETO BÁSICO PARA O ESTUDO DE DRENAGEM DE CANALIZAÇÃO DO CÓRREGO IPIRANGA;27.113,69;424.781,23;451.894,92
Avançar Cidades Saneamento 2018/2019;Concluída;00001755.9.3005/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;MOGI DAS CRUZES;Prefeitura Municipal;PROJETO BÁSICO PARA O ESTUDO DE ADEQUAÇÃO DE CANALIZAÇÃO - CÓRREGO EROLES;9.209,95;144.289,20;153.499,15
Avançar Cidades Saneamento 2018/2019;Concluída;00001761.9.3005/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;MOGI DAS CRUZES;Prefeitura Municipal;PROJETO BÁSICO DE CANALIZAÇÃO DO CORRÉGO DOS CÓRVOS;21.461,05;336.223,16;357.684,21
Avançar Cidades Saneamento 2018/2019;Concluída;00001772.9.3005/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;MOGI DAS CRUZES;Prefeitura Municipal;PROJETO BÁSICO PARA O ESTUDO DE DRENAGEM DA VILA RUBENS, VILA CIDINHA E VILA NANCY ;32.192,27;504.345,57;536.537,84
Avançar Cidades Saneamento 2018/2019;Concluída;00001932.2.1506/2018;Esgotamento Sanitário;SP;Ribeirão Preto;Caixa Econômica Federal;Prefeitura Municipal de Ribeirão Preto;Prefeitura Municipal;AQUISIÇÃO DE VEÍCULO PARA TRANSPORTE DE ÁGUAS RESIDUÁRIAS TRATADAS;39.100,00;742.887,12;781.987,12
Avançar Cidades Saneamento 2018/2019;Concluída;001958.5.1806/2018-R;Manejo de Águas Pluviais;PR;São Mateus do Sul;Caixa Econômica Federal;Prefeitura de São Mateus do Sul;Prefeitura Municipal;Canalização Aberta do Braço do Rio Canoas;129.384,91;2.458.313,11;2.587.698,02
Avançar Cidades Saneamento 2018/2019;Concluída;00001769.1.3005/2018;Abastecimento de Água;SC;Blumenau;BRDE;Prefeitura de Blumenau;Prefeitura Municipal;Melhorias na Rede de Abastecimento de Água e Modernização dos Sistemas Operacionais;700.893,01;13.316.967,12;14.017.860,13
Avançar Cidades Saneamento 2018/2019;Concluída;00001734.2.3005/2018;Esgotamento Sanitário;SP;São Caetano do Sul;Caixa Econômica Federal;Prefeitura Municipal de São Caetano do Sul;Prefeitura Municipal;Recuperação, Ampliação de Rede de Coleta e Afastamento de Esgotamento Sanitário em Várias Ruas do Município. ;836.663,44;15.701.854,85;16.538.518,29
Avançar Cidades Saneamento 2018/2019;Concluída;00001993.6.1806/2018;Manejo de Resíduos Sólidos;SP;Presidente Epitácio;Caixa Econômica Federal;Prefeitura Municipal de Presidente Epitácio;Prefeitura Municipal;Melhoria na Coleta Seletiva com infraestrutura de Ecoponto e veículos para transporte;76.000,00;1.400.000,00;1.476.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001668.A.0106/2018;Redução e Controle de Perdas;BA;Alagoinhas;Caixa Econômica Federal;Prefeitura Municipal de Alagoinhas ;Prefeitura Municipal;Controle e Redução de Perdas do Sistema de Abastecimento de Alagoinhas;280.427,50;5.328.121,95;5.608.549,45
Avançar Cidades Saneamento 2018/2019;Concluída;00001580.9.2905/2018;Estudos e Projetos;SP;São Bernardo do Campo;Caixa Econômica Federal;MUNICÍPIO DE SÃO BERNARDO DO CAMPO;Prefeitura Municipal;Plano Global Estratégico do Pós-Balsa;56.765,72;889.329,54;946.095,26
Avançar Cidades Saneamento 2018/2019;Concluída;00001793.5.3005/2018;Manejo de Águas Pluviais;SP;São Caetano do Sul;Caixa Econômica Federal;Prefeitura Municipal de São Caetano do Sul;Prefeitura Municipal;Ampliação do sistema de drenagem de águas pluviais na Sub Bacia A2, contemplando a continuidade da galeria da Av. Fernando Simonsen até a Rua Amazonas, contemplando as redes das Rua Amazonas,  Rua Maria T. Mourão Marestti conjunta a Rua dos Expedicionários e Rua das Mangueiras.;705.228,72;13.145.130,80;13.850.359,52
Avançar Cidades Saneamento 2018/2019;Concluída;00001356.2.1705/2018;Esgotamento Sanitário;SP;São Bernardo do Campo;Caixa Econômica Federal;MUNICÍPIO DE SÃO BERNARDO DO CAMPO;Prefeitura Municipal;Ampliação Esgotamento Sanitário PGE-Alvarenguinha;2.500.000,00;40.833.934,75;43.333.934,75
Avançar Cidades Saneamento 2018/2019;Concluída;001753.1.1106/2018-R;Abastecimento de Água;SP;Itapevi;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Sistema de Abastecimento Chácaras Monte Serrat - Redes primárias (400 mm) e redes de distribuição (100 mm) e 1 Estação Elevatória de Água Tratada (Booster).;608.500,00;11.561.500,00;12.170.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;001517.5.2805/2018-R;Manejo de Águas Pluviais;SC;Navegantes;Caixa Econômica Federal;Prefeitura Muniipal de Navegantes;Prefeitura Municipal;Macrodrenagem da àrea B (Av. Cons João Gaya e Av. Santos Dumont);277.421,80;5.271.014,03;5.548.435,83
Avançar Cidades Saneamento 2018/2019;Concluída;00001594.5.3005/2018;Manejo de Águas Pluviais;MG;Uberaba;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE UBERABA;Prefeitura Municipal;CANALIZAÇÃO DE CÓRREGOS NO MUNICÍPIO DE UBERABA;669.859,35;12.727.316,94;13.397.176,29
Avançar Cidades Saneamento 2018/2019;Concluída;00001751.5.0106/2018;Manejo de Águas Pluviais;BA;Alagoinhas;Caixa Econômica Federal;Prefeitura Municipal de Alagoinhas ;Prefeitura Municipal;Macrodrenagem da Quintino Bocaiuva;474.420,87;8.942.996,49;9.417.417,36
Avançar Cidades Saneamento 2018/2019;Concluída;001719.5.3005/2018-R;Manejo de Águas Pluviais;RS;Caxias do Sul;Caixa Econômica Federal;Município de Caxias do Sul;Prefeitura Municipal;Implantação de Obra de Macrodrenagem na Bacia do Arroio Aliança;5.601.664,45;22.406.657,81;28.008.322,26
Avançar Cidades Saneamento 2018/2019;Concluída;002009.1.1806/2018-R;Abastecimento de Água;MG;Barbacena;Caixa Econômica Federal;Município de Barbacena;Prefeitura Municipal;Tratamento de Água;647.796,64;12.258.736,16;12.906.532,80
Avançar Cidades Saneamento 2018/2019;Concluída;00001604.1.3005/2018;Abastecimento de Água;ES;Cariacica;Caixa Econômica Federal;Companhia Espírito Santense de Saneamento;Companhia/Empresa de Saneamento;Melhoria da Estação de Tratamento de Água - ETA I Vale Esperança;3.435.774,26;30.921.968,34;34.357.742,60
Avançar Cidades Saneamento 2018/2019;Concluída;00001654.6.3005/2018;Manejo de Resíduos Sólidos;SP;Itapira;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE ITAPIRA;Prefeitura Municipal;Adequação de Tratamento e disposição final dos resíduos sólidos;332.896,43;6.325.027,10;6.657.923,53
Avançar Cidades Saneamento 2018/2019;Concluída;00001952.1.1806/2018;Abastecimento de Água;SP;Ituverava;Caixa Econômica Federal;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE ITUVERAVA;Companhia/Empresa de Saneamento;AMPLIAÇÃO E MELHORIAS NA ESTAÇÃO DE TRATAMENTO DE ÁGUA;220.190,45;4.183.618,36;4.403.808,81
Avançar Cidades Saneamento 2018/2019;Concluída;00001746.1.0106/2018;Abastecimento de Água;MG;Ibiá;Caixa Econômica Federal;Prefeitura Municipal de Ibiá;Prefeitura Municipal;Troca de tubulação de amianto por PVC.;194.496,79;3.640.731,77;3.835.228,56
Avançar Cidades Saneamento 2018/2019;Concluída;001916.5.1806/2018-R;Manejo de Águas Pluviais;SP;São José dos Campos;Caixa Econômica Federal;Prefeitura de São José dos Campos;Prefeitura Municipal;CONSTRUÇÃO DE BARRAMENTO (RESERVATÓRIO DE DETENÇÃO) LOCALIZADO NA AVENIDA VICENTE BRANDÃO FERREIRA - SÃO JOSÉ DOS CAMPOS - SP (Em substituição à carta-consulta enviada em 30/05/2018 #Prioridade 1);598.583,42;11.373.084,92;11.971.668,34
Avançar Cidades Saneamento 2018/2019;Concluída;001951.5.1806/2018-R;Manejo de Águas Pluviais;SP;São José dos Campos;Caixa Econômica Federal;Prefeitura de São José dos Campos;Prefeitura Municipal;CONSTRUÇÃO DE BARRAMENTO (RESERVATÓRIO DE DETENÇÃO) LOCALIZADO NA ESTRADA DO CAPUAVA - SÃO JOSÉ DOS CAMPOS - SP (Em substituição à carta-consulta enviada em 30/05/2018 #Prioridade 2);836.582,96;15.895.076,24;16.731.659,20
Avançar Cidades Saneamento 2018/2019;Concluída;00001354.2.0505/2018;Esgotamento Sanitário;MT;Cáceres;Caixa Econômica Federal;Prefeitura Municipal de Cáceres;Prefeitura Municipal;SISTEMA DE ESGOTAMENTO SANITÁRIO DE CÁCERES/MT;6.695.707,67;127.218.443,64;133.914.151,31
Avançar Cidades Saneamento 2018/2019;Concluída;00001976.2.1806/2018;Esgotamento Sanitário;BA;Mata de São João;Caixa Econômica Federal;Prefeitura Municipal de Mata de São João;Prefeitura Municipal;Esgotamento Bairro do Diamante;331.160,00;4.500.123,75;4.831.283,75
Avançar Cidades Saneamento 2018/2019;Concluída;00001783.2.0106/2018;Esgotamento Sanitário;MG;Ibiá;Caixa Econômica Federal;Prefeitura Municipal de Ibiá;Prefeitura Municipal;sistema de Esgotamento Sanitário;1.134.156,33;19.088.183,40;20.222.339,73
Avançar Cidades Saneamento 2018/2019;Concluída;00001992.2.1806/2018;Esgotamento Sanitário;MG;Olaria;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE OLARIA;Prefeitura Municipal;Estação de Tratamento de Esgoto;90.000,00;500.000,00;590.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001857.2.1306/2018;Esgotamento Sanitário;ES;Fundão;Caixa Econômica Federal;Companhia Espírito Santense de Saneamento;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário de Fundão - Sede;1.290.855,80;24.526.260,12;25.817.115,92
Avançar Cidades Saneamento 2018/2019;Concluída;001786.1.0106/2018-R;Abastecimento de Água;RN;Macau;Caixa Econômica Federal;Estado do Rio Grande do Norte;Governo Estadual/Distrital;Adutora Afonso Bezerra - Pendências ;6.949.844,80;62.548.603,26;69.498.448,06
Avançar Cidades Saneamento 2018/2019;Concluída;00001646.2.0106/2018;Esgotamento Sanitário;RN;Nísia Floresta;Caixa Econômica Federal;Estado do Rio Grande do Norte;Governo Estadual/Distrital;SES Pirangi;531.474,30;4.783.268,91;5.314.743,21
Avançar Cidades Saneamento 2018/2019;Concluída;00001738.2.3005/2018;Esgotamento Sanitário;RJ;Rio de Janeiro;Caixa Econômica Federal;CEDAE/Companhia Estadual de Águas e Esgotos do Rio de janeiro;Companhia/Empresa de Saneamento;AMPLIAÇÃO DO SISTEMA DE ESGOTAMENTO SANITÁRIO DO MUNICÍPIO DO RIO DE JANEIRO;71.219.790,01;1.353.176.010,16;1.424.395.800,17
Avançar Cidades Saneamento 2018/2019;Concluída;001631.1.0106/2018-R;Abastecimento de Água;RN;Nova Cruz;Caixa Econômica Federal;Estado do Rio Grande do Norte;Governo Estadual/Distrital;Adutora Agreste Potiguar;10.246.868,85;92.221.819,61;102.468.688,46
Avançar Cidades Saneamento 2018/2019;Concluída;00001925.5.1806/2018;Manejo de Águas Pluviais;PE;Lagoa Grande;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE LAGOA GRANDE-PE;Prefeitura Municipal;MANEJO DE ÁGUAS PLUVIAS;152.804,94;2.703.258,11;2.856.063,05
Avançar Cidades Saneamento 2018/2019;Concluída;00001576.2.1705/2018;Esgotamento Sanitário;MG;Poços de Caldas;Caixa Econômica Federal;Prefeitura Municipal de Poços de Caldas;Prefeitura Municipal;Execução dos Emissários de Esgoto da Avenida João Pinheiro;2.141.860,79;40.695.354,77;42.837.215,56
Avançar Cidades Saneamento 2018/2019;Concluída;00001868.A.1706/2018;Redução e Controle de Perdas;SP;São Joaquim da Barra;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE SÃO JOAQUIM DA BARRA - SP;Prefeitura Municipal;IMPLANTAÇÃO DE OBRAS E SERVIÇOS PÓS ESTUDO DE PERDAS;1.903.171,91;36.160.265,04;38.063.436,95
Avançar Cidades Saneamento 2018/2019;Concluída;001694.5.3005/2018-R;Manejo de Águas Pluviais;SP;Sorocaba;Caixa Econômica Federal;Prefeitura Municipal de Sorocaba;Prefeitura Municipal;Ampliação e adequação dos sistemas de macro e microdrenagem de Sorocaba;2.623.255,40;47.841.852,60;50.465.108,00
Avançar Cidades Saneamento 2018/2019;Concluída;001935.5.1806/2018-R;Manejo de Águas Pluviais;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal;Prefeitura Municipal;CANALIZAÇÃO DE MACRODRENAGEM DO RIO LAVA-PÉS, PROJETO DE PAVIMENTAÇÃO E DRENAGEM  DA RUA PAULINO DE SIQUEIRA CÔRTES COM PROLONGAMENTO E PAVIMENTAÇÃO E DRENAGEM DA RUA GOIÁS;1.207.500,00;22.185.000,00;23.392.500,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001921.1.1706/2018;Abastecimento de Água;SP;São Joaquim da Barra;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE SÃO JOAQUIM DA BARRA - SP;Prefeitura Municipal;"IMPLANTAÇÃO DE MELHORIAS PARA OTIMIZAÇÃO NO ABASTECIMENTO DE ÁGUA PÓS ESTUDO DE PERDAS: - PERFURAÇÃO DE 01 POÇO TUBULAR PROFUNDO (JÁ OUTORGADO) + CONSTRUÇÃO DE RESERVATÓRIO JUNTO A ETA; - TÉRMINO DE 01 RESERVATÓRIO SITUADO JUNTO AO CR NITERÓI (PEDREIRA MATTARAIA); - ESTUDO DE EFICIENTIZAÇÃO ENERGÉTICA COM SUBSTITUIÇÃO DOS CONJUNTOS MOTOBOMBAS EXISTENTES NA ETA; - AQUISIÇÃO DE BOMBAS RESERVAS PARA PRINCIPAIS POÇOS EXISTENTES NA CIDADE.";320.400,75;6.040.114,35;6.360.515,10
Avançar Cidades Saneamento 2018/2019;Concluída;00001997.2.1806/2018;Esgotamento Sanitário;MT;Lucas do Rio Verde;Caixa Econômica Federal;MUNICÍPIO DE LUCAS DO RIO VERDE;Prefeitura Municipal;Universalização do sistema de esgotamento sanitário - fase 2,3 E 4;4.030.198,80;69.246.143,16;73.276.341,96
Avançar Cidades Saneamento 2018/2019;Concluída;00001433.2.3005/2018;Esgotamento Sanitário;MS;Nova Alvorada do Sul;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Nova Alvorada do Sul - MS;464.122,63;8.818.329,92;9.282.452,55
Avançar Cidades Saneamento 2018/2019;Concluída;001787.5.3105/2018-R;Manejo de Águas Pluviais;RS;Pelotas;Caixa Econômica Federal;Prefeitura Municipal de Pelotas;Prefeitura Municipal;Reforma Casas de Bombas ;1.017.611,58;18.200.000,00;19.217.611,58
Avançar Cidades Saneamento 2018/2019;Concluída;001522.2.3005/2018-R;Esgotamento Sanitário;SP;Campinas;Caixa Econômica Federal;Sociedade de Abastecimento de Água e Saneamento S/A;Companhia/Empresa de Saneamento;Sistema de Esgotamento Sanitário;5.286.299,31;100.388.633,72;105.674.933,03
Avançar Cidades Saneamento 2018/2019;Concluída;001764.1.3005/2018-R;Abastecimento de Água;SP;Campinas;Caixa Econômica Federal;Sociedade de Abastecimento de Água e Saneamento S/A;Companhia/Empresa de Saneamento;IMPLANTAÇÃO DE RETROFIT NA ETA 2 POR MEMBRANAS DE ULTRAFILTRAÇÃO ;4.000.000,00;76.000.000,00;80.000.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001918.2.1406/2018;Esgotamento Sanitário;MT;Lucas do Rio Verde;Caixa Econômica Federal;MUNICÍPIO DE LUCAS DO RIO VERDE;Prefeitura Municipal;UNIVERSALIZAÇÃO DO SISTEMA DE ESGOTAMENTO SANITÁRIO LUCAS DO RIO VERDE - MT FASE 1;1.282.745,51;22.352.815,88;23.635.561,39
Avançar Cidades Saneamento 2018/2019;Concluída;001877.1.1806/2018-R;Abastecimento de Água;CE;Jijoca de Jericoacoara;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Ampliação e Melhorias do Sistema de Abastecimento de Água da Vila de Jericoacoara, município de Jijoca de Jericoacoara – CE;509.653,68;9.683.419,95;10.193.073,63
Avançar Cidades Saneamento 2018/2019;Concluída;001888.2.1806/2018-R;Esgotamento Sanitário;CE;Jijoca de Jericoacoara;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Ampliação e Melhorias do Sistema de Esgotamento Sanitário da Vila de Jericoacoara, município de Jijoca de Jericoacora-CE;1.366.130,75;25.956.484,14;27.322.614,89
Avançar Cidades Saneamento 2018/2019;Concluída;00001626.5.3005/2018;Manejo de Águas Pluviais;MG;Vespasiano;Caixa Econômica Federal;MUNICÍPIO DE VESPASIANO/MG;Prefeitura Municipal;Construção de avenida sanitária no Município de Vespasiano/MG;712.954,19;13.546.129,40;14.259.083,59
Avançar Cidades Saneamento 2018/2019;Concluída;00001671.2.2505/2018;Esgotamento Sanitário;SP;Jundiaí;Caixa Econômica Federal;DAE S/A - Água e Esgoto;Companhia/Empresa de Saneamento;Recuperação de interceptor na margem do Rio Jundiaí;1.460.000,00;10.590.000,00;12.050.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001696.5.2805/2018;Manejo de Águas Pluviais;MG;Matozinhos;Caixa Econômica Federal;Prefeitura Municipal de Matozinhos;Prefeitura Municipal;Drenagem Pluvial e Pavimentação nos Bairros Presidente, São Paulo e São José em Matozinhos/MG;3.375.020,38;63.695.101,79;67.070.122,17
Avançar Cidades Saneamento 2018/2019;Concluída;00001892.9.1306/2018;Estudos e Projetos;MG;Engenheiro Caldas;Caixa Econômica Federal;Prefeitura Municipal de Engenheiro Caldas;Prefeitura Municipal;Estudos e projetos para revitalização de Lagoa ;22.000,00;415.000,00;437.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001471.1.3005/2018;Abastecimento de Água;SP;Hortolândia;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Ampliação da captação de água do Rio Jaguarí;1.871.138,06;35.551.622,96;37.422.761,02
Avançar Cidades Saneamento 2018/2019;Concluída;00001662.2.1406/2018;Esgotamento Sanitário;SC;Imbituba;Caixa Econômica Federal;Prefeitura Municipal de Imbituba;Prefeitura Municipal;SANEAMENTO;1.600.000,00;15.351.562,90;16.951.562,90
Avançar Cidades Saneamento 2018/2019;Concluída;001777.9.3005/2018-R;Estudos e Projetos;SC;Pomerode;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE POMERODE;Prefeitura Municipal;Estudo de Concepção e Projeto Executivo do Esgotamento Sanitário do município de Pomerode SC;49.900,00;928.100,00;978.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001674.A.2505/2018;Redução e Controle de Perdas;SP;Jundiaí;Caixa Econômica Federal;DAE S/A - Água e Esgoto;Companhia/Empresa de Saneamento;Macromedição do sistema de distribuição e automação das válvulas redutoras de pressão no município de Jundiaí;1.600.000,00;11.200.000,00;12.800.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;001692.2.1506/2018-R;Esgotamento Sanitário;CE;Fortaleza;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário de Fortaleza - Conjunto Palmeiras, Planalto Palmeira e Comunidade Lagoa do Opaia;3.063.176,31;58.200.349,82;61.263.526,13
Avançar Cidades Saneamento 2018/2019;Concluída;00001376.2.2905/2018;Esgotamento Sanitário;MG;Campanha;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;1.370.300,00;26.035.700,00;27.406.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001377.1.2905/2018;Abastecimento de Água;MG;Campanha;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Abastecimento de Água;432.650,00;8.220.350,00;8.653.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001388.2.2905/2018;Esgotamento Sanitário;MG;Congonhas;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;4.116.500,00;78.213.500,00;82.330.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001445.1.2905/2018;Abastecimento de Água;MG;Contagem;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Abastecimento de Água;2.015.000,00;38.285.000,00;40.300.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001446.1.2905/2018;Abastecimento de Água;MG;Belo Horizonte;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Abastecimento de Água;665.000,00;12.635.000,00;13.300.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001345.A.2905/2018;Redução e Controle de Perdas;MG;Belo Horizonte;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Belo Horizonte e Outros ;9.000.000,00;171.000.000,00;180.000.000,00
Avançar Cidades Saneamento 2018/2019;Concluída;00001601.1.2505/2018;Abastecimento de Água;PR;Jaguariaíva;Caixa Econômica Federal;Serviço Autonomo Municipal de Água e Esgoto;Prefeitura Municipal;Captação Lago Azul;131.845,64;2.505.067,08;2.636.912,72
Avançar Cidades Saneamento 2018/2019;Concluída;00001516.2.0705/2018;Esgotamento Sanitário;GO;Pires do Rio;BNDES;Saneamento de Goiás S/A ;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário (SES) de Pires do Rio/GO;3.320.087,80;29.880.790,48;33.200.878,28
Avançar Cidades Saneamento 2018/2019;Concluída;00001344.A.3005/2018;Redução e Controle de Perdas;SP;Ribeirão Preto;Caixa Econômica Federal;Prefeitura Municipal de Ribeirão Preto;Prefeitura Municipal;PROGRAMA DE CONTROLE E REDUÇÃO DE PERDAS;4.755.302,75;90.350.743,38;95.106.046,13
Avançar Cidades Saneamento 2018/2019;Arquivada;00001964.1.1806/2018;Abastecimento de Água;PR;Iporã;BNDES;Companhia de Saneamento do Paraná - SANEPAR;Companhia/Empresa de Saneamento;Ampliação de SAA de Iporã;160.000,00;3.040.000,00;3.200.000,00
Avançar Cidades Saneamento 2018/2019;Arquivada;00001543.1.1506/2018;Abastecimento de Água;PB;São Bento;Caixa Econômica Federal;Governo do Estado da Paraíba;Governo Estadual/Distrital;Ampliação do Sistema de Abastecimento de Água de São Bento/PB.;2.115.276,05;22.392.133,07;24.507.409,12
Avançar Cidades Saneamento 2018/2019;Arquivada;00001842.2.1506/2018;Esgotamento Sanitário;PB;São Bento;Caixa Econômica Federal;Governo do Estado da Paraíba;Governo Estadual/Distrital;Sistema de Esgotamento Sanitário de São Bento;6.009.754,29;64.723.712,84;70.733.467,13
Avançar Cidades Saneamento 2018/2019;Arquivada;00001383.9.1506/2018;Estudos e Projetos;SP;Amparo;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE AMPARO SP;Prefeitura Municipal;ESTUDOS E PROJETOS - CONSTRUÇÃO DA ETA V;22.058,75;350.000,00;372.058,75
